frequency,raw
9367.83,1.27
9461.51,0.93
9556.12,0.61
9651.68,0.34
9748.20,0.11
9845.68,-0.08
9944.14,-0.24
10043.58,-0.35
10144.02,-0.42
10245.46,-0.47
10347.91,-0.48
10451.39,-0.48
10555.91,-0.44
10661.46,-0.42
10768.08,-0.40
10875.76,-0.40
10984.52,-0.44
11094.36,-0.55
11205.31,-0.71
11317.36,-0.93
11430.53,-1.25
11544.84,-1.62
11660.29,-2.05
11776.89,-2.56
11894.66,-3.09
12013.60,-3.63
12133.74,-4.09
12255.08,-4.42
12377.63,-4.62
12501.41,-4.58
12626.42,-4.29
12752.68,-3.83
12880.21,-3.13
13009.01,-2.25
13139.10,-1.27
13270.49,-0.22
13403.20,0.79
13537.23,1.74
13672.60,2.60
13809.33,3.26
13947.42,3.80
14086.90,4.21
14227.77,4.39
14370.04,4.38
14513.74,4.23
14658.88,3.82
14805.47,3.18
14953.52,2.37
15103.06,1.35
15254.09,0.09
15406.63,-1.29
15560.70,-2.79
15716.30,-4.42
15873.47,-6.09
16032.20,-7.77
16192.52,-9.43
16354.45,-11.02
16517.99,-12.57
16683.17,-13.98
16850.01,-15.29
17018.51,-16.49
17188.69,-17.56
17360.58,-18.48
17534.18,-19.33
17709.53,-20.07
17886.62,-20.66
18065.49,-21.16
18246.14,-21.54
18428.60,-21.73
18612.89,-21.79
18799.02,-21.74
18987.01,-21.69
19176.88,-21.91
19368.65,-22.40
19562.33,-23.51
19757.96,-25.43
19955.54,-27.95
